#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Mar 03 02:17:46 EST 2018,84,84,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ DelMinTest1+ DelMinTest2+ DelMinTest3+ DelMinTest4+ EfficiencyTest1+ GetMinTest2+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ , ,EverythingTest- GetMinTest1- GetMinTest3- , ,
1,Sat Mar 03 02:20:10 EST 2018,89,5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1+ GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1- EverythingTest , ,
2,Sat Mar 03 02:22:01 EST 2018,89,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 EverythingTest , ,
3,Sat Mar 03 02:44:41 EST 2018,78,-11,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1- DelMinTest4- EfficiencyTest1 EverythingTest , ,
4,Sat Mar 03 02:46:23 EST 2018,94,16,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest2 DelMinTest3 DelMinTest4+ EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
5,Sat Mar 03 13:38:53 EST 2018,84,-10,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 EverythingTest- GetMinTest3- , ,
6,Sat Mar 03 13:44:51 EST 2018,94,10,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
7,Sat Mar 03 13:45:23 EST 2018,94,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
8,Sat Mar 03 13:48:05 EST 2018,100,6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1+ EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , , , ,
9,Sat Mar 03 13:48:43 EST 2018,100,0,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , , , ,
10,Sat Mar 03 13:48:44 EST 2018,100,0,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , , , ,
11,Sat Mar 03 13:48:45 EST 2018,94,-6,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1- , ,
12,Sat Mar 03 13:48:46 EST 2018,100,6,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1+ EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , , , ,
13,Sat Mar 03 13:48:48 EST 2018,100,0,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , , , ,
14,Sat Mar 03 13:48:49 EST 2018,100,0,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , , , ,
15,Sat Mar 03 13:48:51 EST 2018,94,-6,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1- , ,
16,Sat Mar 03 13:48:52 EST 2018,94,0,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
17,Sat Mar 03 13:48:53 EST 2018,94,0,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
18,Sat Mar 03 13:48:54 EST 2018,94,0,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
19,Sat Mar 03 13:48:54 EST 2018,94,0,EfficiencyTest1,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
